content,Sentiment
Very good and very easy,Positive
Good,Positive
Bet service,Neutral
Super,Positive
Nice,Positive
Very nice,Positive
Mendukung,Neutral
Bagus,Neutral
Good work this aap,Positive
Good,Positive
Could never sign up or register as visitors,Neutral
Its is best,Positive
Good,Positive
Very foos,Positive
Iixw a db,Neutral
Nice,Positive
rightrightrighte,Neutral
Amazing app but sum time not working good,Positive
Awesome,Positive
Godd,Neutral
So bad apps,Negative
Very good,Positive
Nice,Positive
Please Install,Neutral
Good,Positive
Very slow,Negative
Good,Positive
Nice app,Positive
Very good job,Positive
Good,Positive
Good apps,Positive
Good apps,Positive
good apps,Positive
No good,Negative
Not available,Negative
very bad build and poorly manged,Negative
Awesome,Positive
Good,Positive
Excellent,Positive
Good,Positive
Nice,Positive
Good,Positive
nice app,Positive
Wow,Positive
Good,Positive
Good,Positive
Ayaz Hussain Laghari,Neutral
Got it,Neutral
Not a good one always an issue of correction or not installing,Negative
Excellent,Positive
Good App Tawakkalna Service,Positive
Good,Positive
Assalamoalaikom wyarahmatollahi,Neutral
Good,Positive
Irfan Mehmood,Neutral
Good Apps,Positive
V good app,Positive
Good,Positive
Very good,Positive
Excellent thanks,Positive
Well app,Neutral
Good,Positive
Thanku so nice aap,Positive
Good,Positive
Excellent,Positive
Very nice very good this app,Positive
Good,Positive
Nice app,Positive
bad,Negative
Best app ever,Positive
No working app any time open problem,Neutral
Wow,Positive
Nice app,Positive
V good,Positive
Nice,Positive
So useful,Positive
This is a good work,Positive
Nice app,Positive
De,Neutral
Good,Positive
Good app,Positive
Good apps,Positive
Got it,Neutral
Nice,Positive
Bb,Neutral
GOOD app,Positive
So beautiful,Positive
Good service,Positive
Good,Positive
Good,Positive
Good app,Positive
Thanks to ksa,Positive
Good app,Positive
Supper,Neutral
Well service for all,Neutral
Good service,Positive
Good application,Positive
Ok,Positive
Some time not sport,Neutral
Best app ever,Positive
For safty exelent app,Neutral
Good,Positive
Good app,Positive
Nice app,Positive
Good,Positive
Good,Positive
Excellent To good Amezing,Positive
Good your information,Positive
Very nice app,Positive
Good,Positive
Good apps,Positive
Good,Positive
Good aap,Positive
good,Positive
Good ap,Positive
Nice,Positive
Nice Beautiful,Positive
Good apps,Positive
Nice apps,Positive
Nice appe,Positive
to nice,Positive
Nice,Positive
nice app,Positive
good,Positive
Nice to have,Positive
good,Positive
Very good,Positive
Good services,Positive
Nice app,Positive
Group,Neutral
Ok,Positive
Excellent work,Positive
Nice app,Positive
Good,Positive
Alhamdulillah,Neutral
Good,Positive
Good,Positive
Masha Allah,Neutral
nice,Positive
Not good,Negative
Good,Positive
good,Positive
nice,Positive
Perfect app,Positive
Good app,Positive
Excellent,Positive
Very good,Positive
Nice very good,Positive
Good app,Positive
Very bad experience,Negative
nice,Positive
Excellent,Positive
Mohammad sufolmiah,Neutral
Thawakkalnaape,Neutral
Good,Positive
Nice,Positive
Good service,Positive
Very very bad,Negative
Good,Positive
Great service,Positive
Good app,Positive
Good,Positive
Good,Positive
Good,Positive
I loved it,Positive
Good,Positive
Good,Positive
nice app,Positive
Good application for digital,Positive
Okk,Neutral
Very nice application,Positive
V nice app,Positive
Mashallah,Neutral
Good system,Positive
Average,Negative
wow,Positive
Very good service,Positive
Nice way for the personal information about the job in Saudi Arabia,Positive
Nice app,Positive
Goog,Neutral
Nic,Neutral
outstanding,Positive
Good,Positive
Good,Positive
Satisfied,Positive
Nice,Positive
Nic,Neutral
Good,Positive
Good,Positive
Good app,Positive
Good,Positive
Good,Positive
All,Neutral
Worst app,Negative
Good app tawakkalna,Positive
Nice,Positive
Nice nice nice,Positive
THIS APP To MUCH BETTER,Positive
Good,Positive
Thanks for tawakkalna,Positive
Nice app,Positive
Good Apps,Positive
Good,Positive
Very nice Apps,Positive
nice app,Positive
Just now world was free from Chinese dirty business why still now need this application in KSA PLZ FINISHED FROM MIDDLE EAST COUNTRIES THANKS,Positive
Good apps,Positive
Good app,Positive
Good luck,Positive
Good,Positive
Very well,Positive
Good app,Positive
Very good,Positive
Ok,Positive
Bekar app,Neutral
Nice,Positive
Good,Positive
Good,Positive
good,Positive
Really useful and helpful app,Positive
Nice,Positive
Good,Positive
Good,Positive
nice,Positive
Nc,Neutral
Zabardas,Neutral
Gd,Neutral
Found satisfactory,Neutral
Good,Positive
Amazing,Positive
Very nice,Positive
Excellent,Positive
Awesome,Positive
Google,Neutral
Sahajan,Neutral
Naice app,Neutral
Alihassan,Neutral
Nice,Positive
Very good,Positive
I like app,Neutral
allhamdulliah,Neutral
This apps is very useful and informative,Positive
good,Positive
Always Good Service,Positive
Good,Positive
Nice,Positive
Nice app,Positive
Thanks you,Positive
Good apps,Positive
Gy,Neutral
Good,Positive
